CP014272.1	phage accession

0.439337

NP_049616.1	0.411218
NP_049617.1	0.378840
NP_049618.1	0.399500
NP_049619.1	0.337976
NP_049620.1	0.282761
NP_049621.1	0.545099
NP_049622.1	0.304214
NP_049623.1	0.361654
NP_049624.1	0.444646
NP_049625.1	0.338591
NP_049626.1	0.473836
NP_049627.1	0.217505
NP_049628.1	0.254546
NP_049629.1	0.344132
NP_049630.1	0.340088
NP_049631.1	0.269071
NP_049632.1	0.373315
NP_049633.1	0.248274
NP_049634.1	0.422577
NP_049635.1	0.297850
NP_049636.1	0.264101
NP_049637.1	0.122913
NP_049638.1	0.292519
NP_049639.1	0.406648
NP_049640.1	0.402180
NP_049641.1	0.197207
NP_049642.1	0.062046
NP_049643.1	0.210120
NP_049644.1	0.459442
NP_049645.1	0.288999
NP_049646.1	0.489950
NP_049647.1	0.177465
NP_049648.1	0.351178
NP_049649.1	0.443927
NP_049650.1	0.213154
NP_049651.1	0.599354
NP_049652.1	0.259868
NP_049653.1	0.422597
NP_049654.1	0.487843
NP_049655.1	0.412296
NP_049656.2	0.490424
NP_049657.1	0.292820
NP_049658.1	0.329185
NP_049659.1	0.472153
NP_049660.1	0.221833
NP_049661.1	0.366312
NP_049662.1	0.565853
NP_049663.1	0.451267
NP_049664.1	0.360514
NP_049665.1	0.421181
NP_049666.1	0.518131
NP_049667.1	0.484132
NP_049668.1	0.155969
NP_049669.1	0.444586
NP_049670.1	0.142808
NP_049671.1	0.332445
NP_049672.1	0.297680
NP_813808.1	-0.212510
NP_049673.1	0.437679
NP_049674.1	0.181784
NP_049675.1	0.351354
NP_049676.1	0.366521
NP_049677.1	0.400014
NP_049678.1	0.145926
NP_049679.1	0.418172
NP_049680.1	0.151487
NP_049681.1	0.429909
NP_049682.1	0.273383
NP_049683.1	0.153721
NP_049684.1	0.426313
NP_049685.1	0.337530
NP_049686.1	0.222731
NP_049687.1	0.332401
NP_049688.1	0.206411
NP_049689.1	0.186395
NP_049690.1	0.403467
NP_049691.2	0.276029
NP_049692.1	0.241933
NP_049693.2	0.191172
NP_049694.1	0.287660
NP_049695.1	0.166000
NP_049696.1	0.398618
NP_049697.1	0.372996
NP_049698.1	0.406592
NP_049699.1	0.351912
NP_049700.1	0.408149
NP_049701.1	0.299814
NP_049702.1	0.358130
NP_049703.1	0.342600
NP_049704.1	0.298041
NP_049705.1	0.116776
NP_049706.1	0.456191
NP_049707.1	0.296501
NP_049708.1	0.557235
NP_049709.1	0.483393
NP_049710.1	0.193988
NP_049711.1	0.187935
NP_049712.1	0.037560
NP_813809.1	0.335855
NP_049713.1	0.307535
NP_049714.1	0.360106
NP_049715.1	0.305160
NP_049716.1	0.141517
NP_049717.1	0.170644
NP_049718.1	0.224587
NP_049719.1	0.345260
NP_049720.1	0.219940
NP_049721.1	0.308801
NP_049722.1	0.178494
NP_049723.1	0.307716
NP_049724.1	0.223026
NP_049725.1	0.217165
NP_049726.1	0.327430
NP_049727.1	0.466159
NP_049728.1	0.483535
NP_049729.1	0.322679
NP_049730.1	0.621253
NP_049731.1	0.099530
NP_049732.1	0.265593
NP_049733.1	0.571549
NP_049734.1	0.452495
NP_049735.1	0.524559
NP_049736.1	0.427696
NP_049737.1	0.320413
NP_049738.1	0.095401
NP_049739.1	0.121783
NP_049740.1	0.169637
NP_049741.1	0.177581
NP_049742.1	0.577247
NP_049743.1	0.337527
NP_049744.1	0.556642
NP_049745.2	0.303908
NP_049746.1	0.306518
NP_049747.1	0.234754
NP_049748.1	0.234952
NP_049749.1	0.554234
NP_049750.1	0.183114
NP_049751.1	0.613820
NP_049752.1	0.411263
NP_049753.1	0.214210
NP_049754.1	0.370453
NP_049755.1	0.285425
NP_049756.1	0.246338
NP_049757.1	0.387193
NP_049758.1	-0.012517
NP_049759.1	0.069446
NP_049760.1	0.305993
NP_049761.1	0.329435
NP_049762.1	0.252845
NP_049763.1	0.255533
NP_049764.1	0.333346
NP_049765.1	0.229186
NP_049766.1	0.206576
NP_049767.1	0.376556
NP_049768.1	0.273614
NP_049769.1	0.176958
NP_049770.1	0.299529
NP_049771.1	0.261301
NP_049772.1	0.193626
NP_049773.1	0.320499
NP_049774.1	0.200213
NP_049775.1	0.414839
NP_049776.1	0.370800
NP_049777.1	0.385505
NP_049778.1	0.375395
NP_049779.1	0.328898
NP_049780.1	0.527098
NP_049781.1	0.457401
NP_049782.1	0.443772
NP_049783.1	0.453439
NP_049784.1	0.550358
NP_049785.1	0.421039
NP_813810.1	0.441328
NP_049786.1	0.591703
NP_049787.1	0.772134
NP_049788.2	0.405288
NP_049789.1	0.506577
NP_049790.1	0.369674
NP_049791.1	0.320502
NP_049792.1	0.345646
NP_049793.1	0.357018
NP_049794.1	0.391733
NP_049795.1	0.334651
NP_049796.1	0.422731
NP_049797.1	0.205763
NP_049798.1	0.266147
NP_049799.2	0.265805
NP_049800.1	0.255408
NP_049801.1	0.292621
NP_813811.1	0.228110
NP_049802.1	0.179360
NP_049803.1	0.316496
NP_049804.2	0.192839
NP_049805.1	0.445570
NP_049806.1	0.206630
NP_049807.1	0.043570
NP_049808.1	0.436002
NP_049809.1	0.308113
NP_049810.1	0.195839
NP_049811.1	0.337354
NP_049812.1	0.322294
NP_049813.1	0.451224
NP_049814.1	0.240135
NP_049815.1	0.284800
NP_049816.1	0.124420
NP_049817.1	0.118671
NP_049818.1	0.178647
NP_049819.1	0.272873
NP_049820.1	0.409583
NP_049821.1	0.467777
NP_049822.1	0.483138
NP_049823.1	0.596250
NP_049824.1	0.555663
NP_049825.1	0.496640
NP_049826.1	0.480886
NP_049827.1	0.287533
NP_049828.1	0.386395
NP_049829.1	0.258527
NP_049830.1	0.334730
NP_049831.1	0.375906
NP_049832.1	0.181176
NP_049833.1	0.293076
NP_049834.1	0.632697
NP_049835.1	0.214928
NP_049836.2	0.326714
NP_049837.1	0.335234
NP_049838.1	0.350549
